country,threshold,area__ha,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,tc_loss_ha_2024
India,30,6583055,8614,8255,14204,11134,11175,12972,16046,13974,9261,13505,15038,11685,18278,17494,24375,23806,15514,14467,16992,18335,16878,17739,18186
Indonesia,30,93872195,271744,248435,479153,478404,468380,525991,469405,683825,540975,613905,855533,472991,736796,666636,928658,373254,339888,323646,270056,202905,230002,292373,258811
Kenya,30,650650,2973,1568,2973,1703,3339,3439,1886,1596,6748,1410,1663,1622,1210,3054,2052,3133,2649,2798,3545,445,867,1809,1592
Laos,30,8360414,13698,20468,17941,21598,33971,44918,24924,48412,49977,43363,42483,41314,46967,58980,76124,60679,54579,72038,82234,80938,93087,136532,116514
Liberia,30,4430080,7330,4820,1782,2168,6005,7639,5891,13356,4633,5797,11267,16258,18962,25850,19753,24957,27853,23408,31821,24820,30365,32716,38549
Madagascar,30,4873080,27044,15332,20283,22517,12821,45969,23616,34019,23825,54167,32422,65211,78698,57831,74991,109612,94785,54256,57747,43744,46545,79808,55929
Malawi,30,5368,2,9,6,5,16,9,4,12,5,2,16,18,17,21,22,28,28,43,146,52,93,509,60
Malaysia,30,15950084,61830,60417,113430,114500,113091,142090,139261,235849,139654,161194,244316,106043,230442,154364,185232,162423,144571,120185,72977,72235,71927,79279,68850
Martinique,30,17257,2,6,13,7,3,9,18,16,6,11,21,2,0,0,1,5,2,1,3,2,1,3,0
México,30,9263680,14336,17932,18118,23047,19413,28997,29557,46664,27958,29598,28223,36560,23786,32644,50079,55663,45350,65713,68284,35115,38404,49029,93089
Mozambique,30,126645,143,91,184,278,278,180,327,443,658,126,397,946,644,559,923,3278,537,800,307,276,516,404,406
Myanmar,30,14142246,12938,13768,23285,23420,23065,31292,24123,41647,40067,25247,34050,31383,42156,41429,54825,39688,35912,38309,44445,44566,37797,48330,44555
Nepal,30,745414,169,284,174,234,249,268,171,476,141,104,208,50,59,97,183,410,150,192,170,249,310,214,286
Nicaragua,30,2024916,5753,5123,3182,11309,8817,36159,8020,16023,30518,14502,7260,14014,23323,12542,47402,150613,32008,33909,52625,54030,22637,60016,94797
Nigeria,30,1917983,6131,1830,3055,1922,3457,2752,4089,3923,6780,7402,6061,6385,9928,5318,12335,17389,15182,12095,14586,12138,12858,12000,10638
Panama,30,2945454,1890,1575,2482,2338,4574,3112,6855,5567,2971,4766,3124,3731,2707,2033,5906,5926,6129,6234,6598,5310,4019,4971,5177
Papua New Guinea,30,32611659,23529,15365,25102,16365,24784,25041,33901,23179,32759,26449,39700,30630,58476,77940,80231,63580,77265,57963,44864,43336,74969,47743,43754
Paraguay,30,3482020,50507,74443,65084,57704,27948,85752,53656,49611,72835,64105,83806,53483,38156,28270,45862,70055,25298,50690,58572,44669,32588,25121,40392
Peru,30,69148716,46063,43729,62017,97369,58804,77966,88820,120183,100951,88877,177200,142872,133078,104841,142709,181024,140103,161514,190144,154181,160921,150326,189004
Philippines,30,4588535,3498,4274,7078,6332,7143,8752,5656,6946,8880,4919,6889,10835,11483,6477,13386,13698,9222,7585,7750,6828,27288,5041,6106
Republic of the Congo,30,21157957,9973,9874,4995,8608,11788,13688,5893,7705,20597,13755,14805,24818,31142,18197,43659,26702,26847,30647,26295,19570,26089,24424,62044
Rwanda,30,53781,4,28,6,14,39,8,26,12,24,7,6,15,34,9,22,14,39,13,113,42,14,28,20
Senegal,30,10018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Sierra Leone,30,276675,250,176,234,166,786,476,462,960,300,601,612,2462,1762,3169,2963,4180,3401,3542,2957,3271,3204,3364,3826
Solomon Islands,30,1995711,2128,1276,2200,3842,2495,3015,4826,3126,3224,3094,5253,5596,10326,9286,11672,14326,13350,12323,10457,8505,10137,6918,7953
South Africa,30,125843,350,326,430,522,438,414,541,446,272,349,335,540,516,533,594,2016,777,937,879,632,300,200,498
South Sudan,30,83939,54,48,80,46,46,102,47,23,78,147,86,144,85,65,86,234,79,335,86,74,107,93,94
Sri Lanka,30,596414,524,991,466,546,413,675,498,508,354,491,1585,226,365,360,425,627,437,412,282,281,238,229,315
Suriname,30,12775501,1931,2243,2814,1808,1892,2157,4430,4226,4796,4125,13539,6627,9659,8079,10456,13717,15366,14013,11076,10112,12041,17993,18712
Tanzania,30,743477,843,726,724,751,738,917,1056,937,1086,802,1364,2629,3419,1519,2227,2204,2263,2668,3466,1926,1756,3219,3714
Thailand,30,5966361,3855,4241,8018,10671,9544,11326,7807,13178,12159,8548,8069,3964,4636,2285,4762,3660,1942,2603,3556,2903,3291,4106,4019
Togo,30,1653,2,1,0,1,0,5,0,0,0,0,1,4,25,0,242,9,2,0,1,12,13,2,0
Uganda,30,509358,667,1521,1587,2899,2891,4043,4296,2385,4757,7940,4559,3558,3435,3129,4314,4858,4087,3334,3585,3751,3408,2100,2839
United States,30,200776,12,8,31,10,20,37,32,39,29,42,95,86,162,265,285,26,88,73,39,4,9,51,393
Vanuatu,30,371390,18,329,110,52,68,27,48,824,128,367,62,230,118,699,224,187,238,51,1674,13,15,75,77
Venezuela,30,38654064,11320,20761,15891,15561,14243,26102,19852,23435,25787,15592,22108,15331,20598,15534,84699,43748,30125,58767,53669,22680,19802,27488,74428
Vietnam,30,6792860,11028,9521,21113,27779,20141,22289,34412,46840,64643,45426,68368,26716,41815,38580,68841,45060,33410,30898,32629,29028,21676,16455,16924
"Virgin Islands, U.S.",30,2762,0,6,0,1,1,1,0,0,0,0,1,51,17,0,0,0,0,0,0,0,0,0,0
Zambia,30,331125,62,133,431,242,277,538,305,1298,2850,176,949,1598,2061,2336,2860,3360,2424,2555,2165,2911,2422,2675,3913
Zimbabwe,30,7612,14,8,20,27,25,16,8,18,3,3,63,100,37,62,50,275,27,50,37,42,55,40,32
