country,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e,gfw_forest_carbon_gross_emissions_2024__Mg_CO2e
Burkina Faso,75,0,0,0,34739,628300,-593561,270964,163692,247,33522,21050,5028,8296,19610,3883,17905,3979,4546,8241,10479,3276,1472,2345,1099,995,7470,43860,51680,57935,92147
Burundi,30,537671,25043679,166,744737,2295155,-1550418,506023,326416,519836,212642,360242,122262,703181,727252,332421,764190,402438,340548,563120,887938,672453,761955,887930,1500952,1279433,1101856,1449770,998825,1168417,1283610
Burundi,50,140708,10756702,267,358525,640119,-281593,384817,207259,385168,132341,218270,73937,436310,415536,193522,522775,261028,170703,178472,407881,282737,324275,371082,557318,511014,462310,695619,434932,495330,481981
Burundi,75,21997,2703973,491,116803,190872,-74071,97023,37457,103562,30688,48947,16305,94161,73919,54950,110304,65943,32977,37061,69321,78052,98607,136485,232005,199554,231890,350523,216322,202031,185165
Cambodia,30,8828152,928387019,462,72742189,26232534,46509655,15120620,28672968,29032871,42719329,35472631,45321707,43594388,50002805,70152272,137098765,123274406,122034813,126084801,104128186,82696854,110155313,70679323,66041995,82383749,83345068,86233906,62711158,71919516,56935090
Cambodia,50,7499388,823414281,476,66570095,21734091,44836003,14054797,25375336,26739367,40390767,33959786,43675258,41724018,48654864,67253508,131240671,119787119,115350686,118123902,93718317,75091221,100373147,62545315,56421324,71432592,73149339,76211474,54782362,59667100,47960014
Cambodia,75,5857281,677289584,496,54372673,16420405,37952268,10413372,14144603,16244465,28622950,26116246,36469006,34192152,42671868,55477450,105853667,109495634,102376419,105888354,79439882,63271594,82454168,49514270,42911367,55661385,57382070,60541865,43139566,45841834,36819951
Cameroon,30,31459321,3442060471,570,56903819,117496639,-60592820,20479543,15552292,14124184,12466303,13986089,19441334,25270220,19660730,21801316,32837725,16076358,29484620,50274556,110422008,48524191,72566306,111775356,76051377,74319770,133509584,106351349,95149663,128445742,117121017
Cameroon,50,25260665,3161488140,630,52662531,94144119,-41481588,19150774,14533054,13420345,11583386,13147207,17873929,22972388,17742493,20798936,30474109,14901847,27345264,46114987,101571034,45358477,67947961,102209259,69921121,67480618,125516169,99433172,87886598,119280068,107237542
Cameroon,75,17481724,2553407605,762,31850844,59781311,-27930467,13558613,9531677,9359105,7826790,8808507,11226817,15444820,12483141,15655506,16627323,9198439,16934569,27486634,60270315,27525593,40933725,53847498,41514511,35922027,78348838,59051861,54541426,68672990,69649524
Canada,30,418066874,13223801868,180,1019424298,1012085912,7338385,418315291,834397891,553484853,905185099,954917690,833450400,758860175,707090537,502148821,749339144,870144033,1077949578,1035903765,1028644200,1173449692,839688890,1023707376,821762301,890763285,370210212,1022235435,906638813,3791767078,2396128609
Canada,50,324180878,11842150219,202,786701169,870083294,-83382125,357172801,727788065,477529266,740700159,789939513,669804261,609342750,542924589,402492126,552829655,665576643,847937736,717491759,609597504,914644150,705427294,708089376,702711609,793174755,333331432,834345418,700712278,2780541032,1696723891
Canada,75,216719218,9609763526,240,558687179,654145680,-95458502,257931530,506288215,356620053,524708592,560690042,504249599,486258627,405063999,324437956,437475902,512094215,652958594,434854595,386166894,595630526,550429687,514522086,556475483,611247248,290618673,612379568,539424913,1706473934,1081491328
Central African Republic,30,47073506,3181958612,351,21547878,136509312,-114961434,15031912,16459478,7199637,7618590,13241286,22882090,18427789,13745275,23356652,24267927,23425295,27153096,18930436,24890701,12139191,25461794,31027496,18946201,23953345,28600049,36009853,26273859,28833078,29274022
Central African Republic,50,30767845,2463045213,391,18559797,91585142,-73025346,14082016,14964767,6850761,7183875,11940415,17703769,16526553,11192529,21698226,22581539,21370030,24160955,14404086,19557685,9286701,23375861,26626385,14894463,19618236,24883332,32452532,22300279,24973844,22806279
Central African Republic,75,6873950,958437401,550,10910662,23887010,-12976347,9972279,10539058,5175631,5281790,7099480,8070789,11688922,6863929,13740379,14730945,12763690,13221231,6908471,8185949,5097467,15166790,14411584,7777094,11298944,14406811,19089225,13575100,14259149,12531184
Chad,30,409750,21044530,154,1277049,1792117,-515068,389104,616771,58229,131996,136749,863734,282667,946947,308916,72595,257878,707552,881549,919142,783614,956528,2046017,2099097,1484153,1074544,2352962,2984628,5033065,5260746
Chad,50,7269,456218,194,269225,1024817,-755593,184447,150547,14011,16600,20877,115499,21501,74708,26145,6318,29369,59843,74194,79751,49184,25775,69375,57809,32014,54013,849229,1352670,1737660,1359839
Chad,75,53,5048,279,247744,1011787,-764044,160181,93648,2550,10475,3903,45750,5296,24137,10088,1167,4757,15480,69928,73441,40297,19823,42757,39000,20324,42701,835654,1339482,1709291,1335716
Chile,30,19214323,1130352209,345,42383459,162831025,-120447566,21253942,22495433,26191275,28236324,36245487,32764753,44427284,44237517,32340833,33750869,36076676,57335713,41483743,53896324,50123961,57494925,94301184,40647829,39960796,33738335,50659163,48727851,57136903,33675896
Chile,50,17747652,1068500557,359,40506734,152277611,-111770877,21192683,22392403,26050605,28080663,35963541,32569332,44141263,43983530,32177466,33563316,35736413,56698587,39922407,51150929,47352817,53694325,86156758,36876928,35602160,30092165,47290387,45858062,53878057,31736838
Chile,75,14174616,875386342,374,37259496,121262893,-84003396,20974412,22081775,25641168,27533727,35119765,31667390,42670299,42639952,31384692,32739934,34176532,54169200,37090941,46848237,43282990,48292021,74142310,31788285,29233309,24522826,41848402,40789081,47641419,27949253
China,30,162873593,10488981896,408,249774829,725715723,-475940895,89847224,98390344,92314972,191230574,162340468,231697410,301643573,341578096,276343454,283614092,287568915,287055409,208191235,253834121,238675076,349197661,309889448,278978305,232481908,203155586,277590421,326479436,316109861,356388301
China,50,131480613,9137174121,441,224325103,585645060,-361319960,87040338,94488523,87933351,182687647,156006538,221647045,290596180,331715447,265517921,273125295,276590166,271292204,185956134,224577056,210208634,302005842,261578658,232820019,192180818,167149128,231374421,273755079,263409768,300146261
China,75,61953897,5173082712,520,141392281,282153165,-140760885,68679758,70672464,60646464,128190303,114056763,163567960,222086217,261165789,199032619,209833240,212211969,200590968,109791963,126879234,117569786,165113015,135991527,116626399,92557521,80711212,115054806,137575834,131746364,153062566
Colombia,30,81854356,9175026755,569,133020806,240204582,-107183776,118186872,100232400,62115101,136428419,102106681,101246399,147856574,129398741,129013455,112294347,108520230,127857790,80070604,114836400,80672621,168668687,242785700,206571303,153890964,193430580,162187002,164624886,118911804,130591776
Colombia,50,78367971,9027206152,590,130674707,223276293,-92601586,116767370,99394953,61155432,134925655,100915658,99891651,145908529,127908863,127041237,111093833,107396310,125827740,78848983,112497574,79088508,165370998,237714264,202837125,150296714,189416471,159197455,161254323,114964746,126478583
Colombia,75,72242366,8670946015,622,123973309,196638174,-72664865,110787004,95807934,57046173,128600712,96102608,94683057,138769251,122046275,120071840,107025778,103531802,119497099,75758286,106769610,74715690,156045564,223920699,193392189,141445690,179743565,152072933,153490187,106141187,117894300
Costa Rica,30,3913126,363800861,533,6539913,17502053,-10962140,7410097,6535539,4367015,4670067,8041337,5343030,6071988,11392305,12282859,7111752,5742388,5840990,4477779,6260519,1929837,7824316,12047416,7151823,6701090,5009544,4857102,5225591,5617446,5046081
Costa Rica,50,3684625,353356806,550,6375623,16250007,-9874384,7252406,6373816,4312853,4508551,7747722,5244020,5952424,11082092,12056223,6995025,5623887,5731264,4372307,6057328,1877142,7654139,11847329,6949022,6457473,4854004,4705957,5065003,5423563,4871398
Costa Rica,75,3118327,318846436,589,5806244,13108505,-7302261,6611665,5752331,4076233,4030965,6850420,4857861,5505470,10026495,11220694,6545910,5217181,5321522,3930973,5400800,1647041,7000124,11103938,6221992,5752327,4373472,4195435,4538605,4839422,4328955
Croatia,30,2431302,173445416,314,2212879,20956225,-18743348,1127779,810099,628512,2416003,1152022,917305,1316889,1587478,1223839,1563173,1246924,2166232,1374088,2205496,1131959,2556669,2694850,4248875,3093828,3144795,2799194,4077629,5577188,4048248
Croatia,50,2228566,168011172,340,2157700,19678259,-17520559,1095026,776739,607960,2290100,1129635,890113,1257140,1516726,1180878,1538623,1201008,2123804,1348310,2179416,1105188,2504380,2606709,4163852,3048851,3091964,2758783,3997433,5443790,3928363
Croatia,75,1888962,152726642,368,2018834,17323277,-15304441,1026129,704362,574374,2116194,1085442,835549,1149797,1387569,1086009,1478730,1137114,2013018,1283961,2073051,1026076,2352110,2433003,3920663,2875056,2881306,2584874,3734235,5053446,3639932
Cuba,30,4014605,214374549,266,7205076,29190672,-21985597,5898425,3522629,2226439,6626804,4287251,4223430,2516056,6854510,5702385,3257043,5810424,4226681,2225262,2155097,2455102,38737787,39111791,6517246,3040992,5006596,4329398,2298270,7484536,4407663
Cuba,50,3617392,203948054,285,6949958,26974555,-20024596,5544787,3372010,2111851,6255019,4138888,4073422,2408120,6564450,5420659,3132337,5471879,4077002,2096708,1978720,2261544,38356069,38504243,6162002,2756534,4718719,3983994,2147289,7076680,4186070
Cuba,75,2878342,178251235,308,6230675,23024519,-16793845,4569143,2932470,1787260,5104611,3650693,3598174,2105969,5826062,4545581,2688332,4460289,3634820,1671834,1473881,1774322,37171454,36564772,5317158,2017940,3811575,3170659,1800808,6144518,3713878
Czechia,30,3080969,239110645,302,12993635,19599290,-6605654,1315385,2740436,1659788,5599342,11151867,3806334,9849320,7796972,6428211,7418286,10383989,6876790,3636287,6808779,4064735,12098179,14424317,21678436,40245427,56532062,31955606,20038254,14023854,11314595
Czechia,50,2880355,234317836,336,12890304,18274433,-5384129,1305801,2721217,1646613,5557049,11099985,3786025,9791562,7744767,6388714,7370405,10325791,6832216,3589913,6714912,4019625,11985362,14285410,21506880,39917803,56083709,31725979,19872772,13895797,11198995
Czechia,75,2235322,199454548,379,11604226,14118743,-2514519,1179778,2431244,1486902,5022324,10035346,3470600,8983810,6999133,5816045,6692449,9374163,6212212,3026144,5671893,3440173,10533958,12574760,19245572,35602097,50775967,29126961,18094405,12624494,10080984
