country,threshold,driver,year,tc_loss_ha
Afghanistan,30,Wildfire,2018,0
Afghanistan,30,Wildfire,2019,2
Afghanistan,30,Wildfire,2020,1
Afghanistan,30,Wildfire,2021,2
Afghanistan,30,Wildfire,2022,0
Afghanistan,30,Wildfire,2023,6
Afghanistan,30,Wildfire,2024,5
Angola,30,Hard commodities,2001,266
Angola,30,Hard commodities,2002,192
Angola,30,Hard commodities,2003,550
Angola,30,Hard commodities,2004,539
Angola,30,Hard commodities,2005,941
Angola,30,Hard commodities,2006,1013
Angola,30,Hard commodities,2007,713
Angola,30,Hard commodities,2008,587
Angola,30,Hard commodities,2009,1193
Angola,30,Hard commodities,2010,963
Angola,30,Hard commodities,2011,446
Angola,30,Hard commodities,2012,646
Angola,30,Hard commodities,2013,1124
Angola,30,Hard commodities,2014,1251
Angola,30,Hard commodities,2015,1044
Angola,30,Hard commodities,2016,1445
Angola,30,Hard commodities,2017,2169
Angola,30,Hard commodities,2018,1573
Angola,30,Hard commodities,2019,945
Angola,30,Hard commodities,2020,837
Angola,30,Hard commodities,2021,1512
Angola,30,Hard commodities,2022,1906
Angola,30,Hard commodities,2023,2674
Angola,30,Hard commodities,2024,2245
Angola,30,Logging,2001,919
Angola,30,Logging,2002,828
Angola,30,Logging,2003,514
Angola,30,Logging,2004,837
Angola,30,Logging,2005,645
Angola,30,Logging,2006,1057
Angola,30,Logging,2007,1276
Angola,30,Logging,2008,498
Angola,30,Logging,2009,1873
Angola,30,Logging,2010,1621
Angola,30,Logging,2011,1754
Angola,30,Logging,2012,2775
Angola,30,Logging,2013,3998
Angola,30,Logging,2014,5591
Angola,30,Logging,2015,1952
Angola,30,Logging,2016,2193
Angola,30,Logging,2017,3339
Angola,30,Logging,2018,2211
Angola,30,Logging,2019,1970
Angola,30,Logging,2020,2047
Angola,30,Logging,2021,1856
Angola,30,Logging,2022,1068
Angola,30,Logging,2023,1356
Angola,30,Logging,2024,1656
Angola,30,Other natural disturbances,2001,1205
Angola,30,Other natural disturbances,2002,1336
Angola,30,Other natural disturbances,2003,1524
Angola,30,Other natural disturbances,2004,853
Angola,30,Other natural disturbances,2005,802
Angola,30,Other natural disturbances,2006,491
Angola,30,Other natural disturbances,2007,1061
Angola,30,Other natural disturbances,2008,719
Angola,30,Other natural disturbances,2009,980
Angola,30,Other natural disturbances,2010,869
Angola,30,Other natural disturbances,2011,850
Angola,30,Other natural disturbances,2012,1193
Angola,30,Other natural disturbances,2013,778
Angola,30,Other natural disturbances,2014,1015
Angola,30,Other natural disturbances,2015,410
Angola,30,Other natural disturbances,2016,394
Angola,30,Other natural disturbances,2017,455
Angola,30,Other natural disturbances,2018,273
Angola,30,Other natural disturbances,2019,107
Angola,30,Other natural disturbances,2020,256
Angola,30,Other natural disturbances,2021,340
Angola,30,Other natural disturbances,2022,213
Angola,30,Other natural disturbances,2023,284
Angola,30,Other natural disturbances,2024,629
Angola,30,Permanent agriculture,2001,59807
Angola,30,Permanent agriculture,2002,37636
Angola,30,Permanent agriculture,2003,31187
Angola,30,Permanent agriculture,2004,48927
Angola,30,Permanent agriculture,2005,64064
Angola,30,Permanent agriculture,2006,56097
Angola,30,Permanent agriculture,2007,98768
Angola,30,Permanent agriculture,2008,77135
Angola,30,Permanent agriculture,2009,126117
Angola,30,Permanent agriculture,2010,108563
Angola,30,Permanent agriculture,2011,143306
Angola,30,Permanent agriculture,2012,132326
Angola,30,Permanent agriculture,2013,106038
Angola,30,Permanent agriculture,2014,129491
Angola,30,Permanent agriculture,2015,95852
Angola,30,Permanent agriculture,2016,145051
Angola,30,Permanent agriculture,2017,181998
Angola,30,Permanent agriculture,2018,151605
Angola,30,Permanent agriculture,2019,116946
Angola,30,Permanent agriculture,2020,180764
Angola,30,Permanent agriculture,2021,190747
Angola,30,Permanent agriculture,2022,190331
Angola,30,Permanent agriculture,2023,185104
Angola,30,Permanent agriculture,2024,205032
Angola,30,Settlements & Infrastructure,2001,949
Angola,30,Settlements & Infrastructure,2002,570
Angola,30,Settlements & Infrastructure,2003,695
Angola,30,Settlements & Infrastructure,2004,841
Angola,30,Settlements & Infrastructure,2005,958
Angola,30,Settlements & Infrastructure,2006,502
Angola,30,Settlements & Infrastructure,2007,1370
Angola,30,Settlements & Infrastructure,2008,674
Angola,30,Settlements & Infrastructure,2009,1520
Angola,30,Settlements & Infrastructure,2010,1919
Angola,30,Settlements & Infrastructure,2011,1044
Angola,30,Settlements & Infrastructure,2012,1627
Angola,30,Settlements & Infrastructure,2013,930
Angola,30,Settlements & Infrastructure,2014,1110
Angola,30,Settlements & Infrastructure,2015,765
Angola,30,Settlements & Infrastructure,2016,795
Angola,30,Settlements & Infrastructure,2017,959
Angola,30,Settlements & Infrastructure,2018,475
Angola,30,Settlements & Infrastructure,2019,295
Angola,30,Settlements & Infrastructure,2020,280
Angola,30,Settlements & Infrastructure,2021,381
Angola,30,Settlements & Infrastructure,2022,288
Angola,30,Settlements & Infrastructure,2023,446
Angola,30,Settlements & Infrastructure,2024,365
Angola,30,Shifting cultivation,2001,34717
Angola,30,Shifting cultivation,2002,17893
Angola,30,Shifting cultivation,2003,16032
Angola,30,Shifting cultivation,2004,17313
Angola,30,Shifting cultivation,2005,23662
Angola,30,Shifting cultivation,2006,15913
Angola,30,Shifting cultivation,2007,40030
Angola,30,Shifting cultivation,2008,21608
Angola,30,Shifting cultivation,2009,32059
Angola,30,Shifting cultivation,2010,42220
Angola,30,Shifting cultivation,2011,32960
Angola,30,Shifting cultivation,2012,37842
Angola,30,Shifting cultivation,2013,50163
Angola,30,Shifting cultivation,2014,70241
Angola,30,Shifting cultivation,2015,58053
Angola,30,Shifting cultivation,2016,77625
Angola,30,Shifting cultivation,2017,88514
Angola,30,Shifting cultivation,2018,85658
Angola,30,Shifting cultivation,2019,54348
Angola,30,Shifting cultivation,2020,62820
Angola,30,Shifting cultivation,2021,101731
Angola,30,Shifting cultivation,2022,71935
Angola,30,Shifting cultivation,2023,75926
Angola,30,Shifting cultivation,2024,68657
Angola,30,Wildfire,2001,452
Angola,30,Wildfire,2002,490
Angola,30,Wildfire,2003,279
Angola,30,Wildfire,2004,467
Angola,30,Wildfire,2005,499
Angola,30,Wildfire,2006,382
Angola,30,Wildfire,2007,361
Angola,30,Wildfire,2008,1062
Angola,30,Wildfire,2009,444
Angola,30,Wildfire,2010,1092
Angola,30,Wildfire,2011,479
Angola,30,Wildfire,2012,1343
Angola,30,Wildfire,2013,2339
Angola,30,Wildfire,2014,1364
Angola,30,Wildfire,2015,2968
Angola,30,Wildfire,2016,1571
Angola,30,Wildfire,2017,2441
Angola,30,Wildfire,2018,356
Angola,30,Wildfire,2019,279
Angola,30,Wildfire,2020,573
Angola,30,Wildfire,2021,1311
Angola,30,Wildfire,2022,850
Angola,30,Wildfire,2023,2137
Angola,30,Wildfire,2024,4147
Åland,30,Hard commodities,2010,0
Åland,30,Logging,2001,372
Åland,30,Logging,2002,268
Åland,30,Logging,2003,204
Åland,30,Logging,2004,717
Åland,30,Logging,2005,666
Åland,30,Logging,2006,96
Åland,30,Logging,2007,238
Åland,30,Logging,2008,1251
Åland,30,Logging,2009,652
Åland,30,Logging,2010,584
Åland,30,Logging,2011,449
Åland,30,Logging,2012,629
Åland,30,Logging,2013,494
Åland,30,Logging,2014,529
Åland,30,Logging,2015,563
Åland,30,Logging,2016,642
Åland,30,Logging,2017,719
Åland,30,Logging,2018,601
Åland,30,Logging,2019,2329
Åland,30,Logging,2020,655
Åland,30,Logging,2021,1331
Åland,30,Logging,2022,1150
Åland,30,Logging,2023,1086
Åland,30,Logging,2024,943
Åland,30,Permanent agriculture,2001,7
Åland,30,Permanent agriculture,2002,0
Åland,30,Permanent agriculture,2003,2
Åland,30,Permanent agriculture,2004,6
Åland,30,Permanent agriculture,2005,8
Åland,30,Permanent agriculture,2007,4
Åland,30,Permanent agriculture,2008,14
Åland,30,Permanent agriculture,2009,13
Åland,30,Permanent agriculture,2010,25
Åland,30,Permanent agriculture,2011,3
Åland,30,Permanent agriculture,2012,1
Åland,30,Permanent agriculture,2013,8
Åland,30,Permanent agriculture,2014,4
Åland,30,Permanent agriculture,2015,1
Åland,30,Permanent agriculture,2016,8
Åland,30,Permanent agriculture,2017,7
Åland,30,Permanent agriculture,2018,5
Åland,30,Permanent agriculture,2019,15
Åland,30,Permanent agriculture,2020,9
Åland,30,Permanent agriculture,2021,13
Åland,30,Permanent agriculture,2022,6
Åland,30,Permanent agriculture,2023,2
Åland,30,Permanent agriculture,2024,1
Åland,30,Settlements & Infrastructure,2001,9
Åland,30,Settlements & Infrastructure,2002,7
Åland,30,Settlements & Infrastructure,2003,8
Åland,30,Settlements & Infrastructure,2004,8
Åland,30,Settlements & Infrastructure,2005,20
Åland,30,Settlements & Infrastructure,2006,0
Åland,30,Settlements & Infrastructure,2007,0
Åland,30,Settlements & Infrastructure,2008,19
Åland,30,Settlements & Infrastructure,2009,6
Åland,30,Settlements & Infrastructure,2010,19
Åland,30,Settlements & Infrastructure,2011,10
Åland,30,Settlements & Infrastructure,2012,20
Åland,30,Settlements & Infrastructure,2013,6
Åland,30,Settlements & Infrastructure,2014,15
Åland,30,Settlements & Infrastructure,2015,2
Åland,30,Settlements & Infrastructure,2016,20
Åland,30,Settlements & Infrastructure,2017,5
Åland,30,Settlements & Infrastructure,2018,12
Åland,30,Settlements & Infrastructure,2019,13
Åland,30,Settlements & Infrastructure,2020,7
Åland,30,Settlements & Infrastructure,2021,9
Åland,30,Settlements & Infrastructure,2022,8
Åland,30,Settlements & Infrastructure,2023,3
Åland,30,Settlements & Infrastructure,2024,5
Åland,30,Wildfire,2001,0
Åland,30,Wildfire,2002,0
Åland,30,Wildfire,2003,1
Åland,30,Wildfire,2004,1
Åland,30,Wildfire,2005,0
Åland,30,Wildfire,2006,1
Åland,30,Wildfire,2007,4
Åland,30,Wildfire,2008,0
Åland,30,Wildfire,2009,1
Åland,30,Wildfire,2010,0
Åland,30,Wildfire,2011,0
Åland,30,Wildfire,2012,0
Åland,30,Wildfire,2014,0
Åland,30,Wildfire,2016,0
Åland,30,Wildfire,2017,1
Åland,30,Wildfire,2019,0
Åland,30,Wildfire,2020,0
Åland,30,Wildfire,2021,0
Åland,30,Wildfire,2022,0
Albania,30,Hard commodities,2001,30
Albania,30,Hard commodities,2002,11
Albania,30,Hard commodities,2003,5
Albania,30,Hard commodities,2004,25
Albania,30,Hard commodities,2005,12
Albania,30,Hard commodities,2006,6
Albania,30,Hard commodities,2007,63
Albania,30,Hard commodities,2008,50
Albania,30,Hard commodities,2009,27
Albania,30,Hard commodities,2010,29
Albania,30,Hard commodities,2011,26
Albania,30,Hard commodities,2012,21
Albania,30,Hard commodities,2013,40
Albania,30,Hard commodities,2014,28
Albania,30,Hard commodities,2015,25
Albania,30,Hard commodities,2016,35
Albania,30,Hard commodities,2017,39
Albania,30,Hard commodities,2018,38
Albania,30,Hard commodities,2019,41
Albania,30,Hard commodities,2020,37
Albania,30,Hard commodities,2021,30
Albania,30,Hard commodities,2022,25
Albania,30,Hard commodities,2023,30
Albania,30,Hard commodities,2024,18
Albania,30,Logging,2001,1079
Albania,30,Logging,2002,474
Albania,30,Logging,2003,164
Albania,30,Logging,2004,1232
Albania,30,Logging,2005,274
Albania,30,Logging,2006,391
Albania,30,Logging,2007,576
Albania,30,Logging,2008,990
Albania,30,Logging,2009,554
Albania,30,Logging,2010,306
Albania,30,Logging,2011,268
Albania,30,Logging,2012,821
Albania,30,Logging,2013,320
Albania,30,Logging,2014,390
Albania,30,Logging,2015,136
Albania,30,Logging,2016,294
Albania,30,Logging,2017,296
Albania,30,Logging,2018,362
Albania,30,Logging,2019,415
Albania,30,Logging,2020,360
Albania,30,Logging,2021,361
Albania,30,Logging,2022,300
Albania,30,Logging,2023,572
Albania,30,Logging,2024,228
Albania,30,Other natural disturbances,2001,55
Albania,30,Other natural disturbances,2002,10
Albania,30,Other natural disturbances,2003,8
Albania,30,Other natural disturbances,2004,44
Albania,30,Other natural disturbances,2005,6
Albania,30,Other natural disturbances,2006,11
Albania,30,Other natural disturbances,2007,41
Albania,30,Other natural disturbances,2008,52
Albania,30,Other natural disturbances,2009,15
Albania,30,Other natural disturbances,2010,10
Albania,30,Other natural disturbances,2011,6
Albania,30,Other natural disturbances,2012,68
Albania,30,Other natural disturbances,2013,95
Albania,30,Other natural disturbances,2014,28
Albania,30,Other natural disturbances,2015,2
Albania,30,Other natural disturbances,2016,11
Albania,30,Other natural disturbances,2017,12
Albania,30,Other natural disturbances,2018,32
Albania,30,Other natural disturbances,2019,34
Albania,30,Other natural disturbances,2020,30
Albania,30,Other natural disturbances,2021,16
Albania,30,Other natural disturbances,2022,19
Albania,30,Other natural disturbances,2023,23
Albania,30,Other natural disturbances,2024,6
Albania,30,Permanent agriculture,2001,368
Albania,30,Permanent agriculture,2002,66
Albania,30,Permanent agriculture,2003,65
Albania,30,Permanent agriculture,2004,425
Albania,30,Permanent agriculture,2005,104
Albania,30,Permanent agriculture,2006,160
Albania,30,Permanent agriculture,2007,544
Albania,30,Permanent agriculture,2008,286
Albania,30,Permanent agriculture,2009,142
Albania,30,Permanent agriculture,2010,54
Albania,30,Permanent agriculture,2011,79
Albania,30,Permanent agriculture,2012,633
Albania,30,Permanent agriculture,2013,104
Albania,30,Permanent agriculture,2014,88
Albania,30,Permanent agriculture,2015,28
Albania,30,Permanent agriculture,2016,38
Albania,30,Permanent agriculture,2017,47
Albania,30,Permanent agriculture,2018,48
Albania,30,Permanent agriculture,2019,40
Albania,30,Permanent agriculture,2020,42
Albania,30,Permanent agriculture,2021,31
Albania,30,Permanent agriculture,2022,29
Albania,30,Permanent agriculture,2023,97
Albania,30,Permanent agriculture,2024,28
Albania,30,Settlements & Infrastructure,2001,37
Albania,30,Settlements & Infrastructure,2002,12
Albania,30,Settlements & Infrastructure,2003,8
Albania,30,Settlements & Infrastructure,2004,45
Albania,30,Settlements & Infrastructure,2005,11
Albania,30,Settlements & Infrastructure,2006,19
Albania,30,Settlements & Infrastructure,2007,69
Albania,30,Settlements & Infrastructure,2008,100
Albania,30,Settlements & Infrastructure,2009,41
Albania,30,Settlements & Infrastructure,2010,40
Albania,30,Settlements & Infrastructure,2011,34
Albania,30,Settlements & Infrastructure,2012,73
Albania,30,Settlements & Infrastructure,2013,54
Albania,30,Settlements & Infrastructure,2014,60
Albania,30,Settlements & Infrastructure,2015,21
Albania,30,Settlements & Infrastructure,2016,62
Albania,30,Settlements & Infrastructure,2017,86
Albania,30,Settlements & Infrastructure,2018,77
Albania,30,Settlements & Infrastructure,2019,58
Albania,30,Settlements & Infrastructure,2020,34
Albania,30,Settlements & Infrastructure,2021,45
Albania,30,Settlements & Infrastructure,2022,46
Albania,30,Settlements & Infrastructure,2023,46
Albania,30,Settlements & Infrastructure,2024,42
Albania,30,Wildfire,2001,2040
Albania,30,Wildfire,2002,279
Albania,30,Wildfire,2003,338
Albania,30,Wildfire,2004,1372
Albania,30,Wildfire,2005,261
Albania,30,Wildfire,2006,345
Albania,30,Wildfire,2007,3873
Albania,30,Wildfire,2008,3953
Albania,30,Wildfire,2009,516
Albania,30,Wildfire,2010,192
Albania,30,Wildfire,2011,745
Albania,30,Wildfire,2012,3709
Albania,30,Wildfire,2013,1909
Albania,30,Wildfire,2014,420
Albania,30,Wildfire,2015,62
Albania,30,Wildfire,2016,465
Albania,30,Wildfire,2017,1185
Albania,30,Wildfire,2018,1478
Albania,30,Wildfire,2019,467
Albania,30,Wildfire,2020,597
Albania,30,Wildfire,2021,1186
Albania,30,Wildfire,2022,1660
Albania,30,Wildfire,2023,1712
Albania,30,Wildfire,2024,552
Argentina,30,Hard commodities,2001,211
Argentina,30,Hard commodities,2002,291
Argentina,30,Hard commodities,2003,268
Argentina,30,Hard commodities,2004,216
Argentina,30,Hard commodities,2005,317
Argentina,30,Hard commodities,2006,319
Argentina,30,Hard commodities,2007,378
Argentina,30,Hard commodities,2008,825
Argentina,30,Hard commodities,2009,495
Argentina,30,Hard commodities,2010,522
Argentina,30,Hard commodities,2011,530
Argentina,30,Hard commodities,2012,333
Argentina,30,Hard commodities,2013,308
Argentina,30,Hard commodities,2014,280
Argentina,30,Hard commodities,2015,298
Argentina,30,Hard commodities,2016,372
Argentina,30,Hard commodities,2017,719
Argentina,30,Hard commodities,2018,589
Argentina,30,Hard commodities,2019,308
Argentina,30,Hard commodities,2020,324
Argentina,30,Hard commodities,2021,433
Argentina,30,Hard commodities,2022,367
Argentina,30,Hard commodities,2023,227
Argentina,30,Hard commodities,2024,277
Argentina,30,Logging,2001,27147
Argentina,30,Logging,2002,22547
Argentina,30,Logging,2003,28334
Argentina,30,Logging,2004,35923
Argentina,30,Logging,2005,39195
Argentina,30,Logging,2006,43790
Argentina,30,Logging,2007,43477
Argentina,30,Logging,2008,47923
Argentina,30,Logging,2009,28319
Argentina,30,Logging,2010,35440
Argentina,30,Logging,2011,42182
Argentina,30,Logging,2012,59166
Argentina,30,Logging,2013,41513
Argentina,30,Logging,2014,34692
Argentina,30,Logging,2015,25143
Argentina,30,Logging,2016,29938
Argentina,30,Logging,2017,31178
Argentina,30,Logging,2018,23193
Argentina,30,Logging,2019,22398
Argentina,30,Logging,2020,24000
Argentina,30,Logging,2021,24898
Argentina,30,Logging,2022,30862
Argentina,30,Logging,2023,26490
Argentina,30,Logging,2024,35667
Argentina,30,Other natural disturbances,2001,5163
Argentina,30,Other natural disturbances,2002,2586
Argentina,30,Other natural disturbances,2003,4322
Argentina,30,Other natural disturbances,2004,4765
Argentina,30,Other natural disturbances,2005,3723
Argentina,30,Other natural disturbances,2006,6225
Argentina,30,Other natural disturbances,2007,4231
Argentina,30,Other natural disturbances,2008,8980
Argentina,30,Other natural disturbances,2009,6801
Argentina,30,Other natural disturbances,2010,5996
Argentina,30,Other natural disturbances,2011,5609
Argentina,30,Other natural disturbances,2012,15154
Argentina,30,Other natural disturbances,2013,12776
Argentina,30,Other natural disturbances,2014,3842
Argentina,30,Other natural disturbances,2015,3067
Argentina,30,Other natural disturbances,2016,3247
Argentina,30,Other natural disturbances,2017,2963
Argentina,30,Other natural disturbances,2018,1203
Argentina,30,Other natural disturbances,2019,1882
Argentina,30,Other natural disturbances,2020,4219
Argentina,30,Other natural disturbances,2021,1355
Argentina,30,Other natural disturbances,2022,3129
Argentina,30,Other natural disturbances,2023,3067
Argentina,30,Other natural disturbances,2024,2514
Argentina,30,Permanent agriculture,2001,108123
Argentina,30,Permanent agriculture,2002,73429
Argentina,30,Permanent agriculture,2003,204182
Argentina,30,Permanent agriculture,2004,377615
Argentina,30,Permanent agriculture,2005,313450
Argentina,30,Permanent agriculture,2006,257052
Argentina,30,Permanent agriculture,2007,362889
Argentina,30,Permanent agriculture,2008,515571
Argentina,30,Permanent agriculture,2009,258675
Argentina,30,Permanent agriculture,2010,355586
Argentina,30,Permanent agriculture,2011,430721
Argentina,30,Permanent agriculture,2012,376391
Argentina,30,Permanent agriculture,2013,260303
Argentina,30,Permanent agriculture,2014,181915
Argentina,30,Permanent agriculture,2015,122854
Argentina,30,Permanent agriculture,2016,179648
Argentina,30,Permanent agriculture,2017,187039
Argentina,30,Permanent agriculture,2018,141517
Argentina,30,Permanent agriculture,2019,116132
Argentina,30,Permanent agriculture,2020,137498
Argentina,30,Permanent agriculture,2021,148226
Argentina,30,Permanent agriculture,2022,165674
Argentina,30,Permanent agriculture,2023,165793
Argentina,30,Permanent agriculture,2024,126418
Argentina,30,Settlements & Infrastructure,2001,1366
Argentina,30,Settlements & Infrastructure,2002,781
Argentina,30,Settlements & Infrastructure,2003,1578
Argentina,30,Settlements & Infrastructure,2004,1992
Argentina,30,Settlements & Infrastructure,2005,3062
Argentina,30,Settlements & Infrastructure,2006,1696
Argentina,30,Settlements & Infrastructure,2007,3589
Argentina,30,Settlements & Infrastructure,2008,4396
Argentina,30,Settlements & Infrastructure,2009,2191
Argentina,30,Settlements & Infrastructure,2010,3124
Argentina,30,Settlements & Infrastructure,2011,3050
Argentina,30,Settlements & Infrastructure,2012,2878
Argentina,30,Settlements & Infrastructure,2013,2626
Argentina,30,Settlements & Infrastructure,2014,2473
Argentina,30,Settlements & Infrastructure,2015,2344
Argentina,30,Settlements & Infrastructure,2016,2519
Argentina,30,Settlements & Infrastructure,2017,2344
Argentina,30,Settlements & Infrastructure,2018,1694
Argentina,30,Settlements & Infrastructure,2019,1174
Argentina,30,Settlements & Infrastructure,2020,1251
Argentina,30,Settlements & Infrastructure,2021,1133
Argentina,30,Settlements & Infrastructure,2022,1636
Argentina,30,Settlements & Infrastructure,2023,1227
Argentina,30,Settlements & Infrastructure,2024,851
Argentina,30,Shifting cultivation,2001,47
Argentina,30,Shifting cultivation,2002,29
Argentina,30,Shifting cultivation,2003,8
Argentina,30,Shifting cultivation,2004,20
Argentina,30,Shifting cultivation,2005,22
Argentina,30,Shifting cultivation,2006,28
Argentina,30,Shifting cultivation,2007,28
Argentina,30,Shifting cultivation,2008,55
Argentina,30,Shifting cultivation,2009,38
Argentina,30,Shifting cultivation,2010,29
Argentina,30,Shifting cultivation,2011,2
Argentina,30,Shifting cultivation,2012,31
Argentina,30,Shifting cultivation,2013,55
Argentina,30,Shifting cultivation,2014,13
Argentina,30,Shifting cultivation,2015,11
Argentina,30,Shifting cultivation,2016,14
Argentina,30,Shifting cultivation,2017,32
Argentina,30,Shifting cultivation,2018,18
Argentina,30,Shifting cultivation,2019,17
Argentina,30,Shifting cultivation,2020,505
Argentina,30,Shifting cultivation,2021,15
Argentina,30,Shifting cultivation,2022,26
Argentina,30,Shifting cultivation,2023,10
Argentina,30,Shifting cultivation,2024,33
Argentina,30,Wildfire,2001,3768
Argentina,30,Wildfire,2002,4168
Argentina,30,Wildfire,2003,9123
Argentina,30,Wildfire,2004,11071
Argentina,30,Wildfire,2005,6024
Argentina,30,Wildfire,2006,5546
Argentina,30,Wildfire,2007,9343
Argentina,30,Wildfire,2008,11807
Argentina,30,Wildfire,2009,11444
Argentina,30,Wildfire,2010,10992
Argentina,30,Wildfire,2011,15164
Argentina,30,Wildfire,2012,20155
Argentina,30,Wildfire,2013,57069
Argentina,30,Wildfire,2014,16371
Argentina,30,Wildfire,2015,25893
Argentina,30,Wildfire,2016,14026
Argentina,30,Wildfire,2017,8811
Argentina,30,Wildfire,2018,4536
Argentina,30,Wildfire,2019,3330
Argentina,30,Wildfire,2020,29286
Argentina,30,Wildfire,2021,25567
Argentina,30,Wildfire,2022,30077
Argentina,30,Wildfire,2023,18927
Argentina,30,Wildfire,2024,36956
Australia,30,Hard commodities,2001,927
Australia,30,Hard commodities,2002,1048
Australia,30,Hard commodities,2003,1466
Australia,30,Hard commodities,2004,1718
Australia,30,Hard commodities,2005,2257
Australia,30,Hard commodities,2006,2540
Australia,30,Hard commodities,2007,3545
Australia,30,Hard commodities,2008,3065
Australia,30,Hard commodities,2009,2513
Australia,30,Hard commodities,2010,3214
Australia,30,Hard commodities,2011,2854
Australia,30,Hard commodities,2012,2244
Australia,30,Hard commodities,2013,2312
Australia,30,Hard commodities,2014,2242
Australia,30,Hard commodities,2015,2092
Australia,30,Hard commodities,2016,4198
Australia,30,Hard commodities,2017,3429
Australia,30,Hard commodities,2018,2011
Australia,30,Hard commodities,2019,2279
Australia,30,Hard commodities,2020,2481
Australia,30,Hard commodities,2021,1806
Australia,30,Hard commodities,2022,2282
Australia,30,Hard commodities,2023,2303
Australia,30,Hard commodities,2024,1468
Australia,30,Logging,2001,43917
Australia,30,Logging,2002,51887
Australia,30,Logging,2003,70493
Australia,30,Logging,2004,63544
Australia,30,Logging,2005,62336
Australia,30,Logging,2006,66784
Australia,30,Logging,2007,92073
Australia,30,Logging,2008,65026
Australia,30,Logging,2009,74035
Australia,30,Logging,2010,57850
Australia,30,Logging,2011,60419
Australia,30,Logging,2012,55377
Australia,30,Logging,2013,53307
Australia,30,Logging,2014,62881
Australia,30,Logging,2015,58278
Australia,30,Logging,2016,94134
Australia,30,Logging,2017,82088
Australia,30,Logging,2018,67827
Australia,30,Logging,2019,74866
Australia,30,Logging,2020,78883
Australia,30,Logging,2021,56814
Australia,30,Logging,2022,41423
Australia,30,Logging,2023,32005
Australia,30,Logging,2024,32716
Australia,30,Other natural disturbances,2001,1088
Australia,30,Other natural disturbances,2002,1059
Australia,30,Other natural disturbances,2003,1794
Australia,30,Other natural disturbances,2004,1200
Australia,30,Other natural disturbances,2005,1849
Australia,30,Other natural disturbances,2006,1892
Australia,30,Other natural disturbances,2007,2790
Australia,30,Other natural disturbances,2008,1270
Australia,30,Other natural disturbances,2009,2261
Australia,30,Other natural disturbances,2010,1206
Australia,30,Other natural disturbances,2011,4844
Australia,30,Other natural disturbances,2012,1526
Australia,30,Other natural disturbances,2013,1979
Australia,30,Other natural disturbances,2014,2034
